timestamp,open,high,low,close,volume
2024-05-17,389.1600,401.3600,379.6700,398.8200,4989454
2024-05-10,382.6300,389.7800,380.1250,386.7000,4654267
2024-05-03,375.3900,384.4700,367.3850,381.3600,5386162
2024-04-26,369.5400,383.6200,364.3100,375.3300,6977997
2024-04-19,392.2500,392.2900,364.1700,366.3400,11175699
2024-04-12,388.3900,392.8000,380.7100,384.8000,5898969
2024-04-05,399.0000,399.6400,378.6200,388.3900,7981567
2024-03-28,393.5900,403.7590,390.5000,399.0900,5159857
2024-03-22,399.6000,401.2700,381.7700,394.0700,6679003
2024-03-15,391.0000,398.1600,376.6000,396.2800,9767563
2024-03-08,398.3000,403.0000,386.3000,391.8500,8293250
2024-03-01,389.4000,399.6700,382.3201,397.9000,7299337
2024-02-23,379.6900,391.2500,373.1500,389.7700,5203672
2024-02-16,386.0900,387.3600,371.0000,378.6300,6747867
2024-02-09,384.4700,392.0000,380.5700,388.2200,6961274
2024-02-02,374.4100,385.4300,373.0600,383.7700,8184081
2024-01-26,377.9100,384.0000,362.1400,374.7600,13158496
2024-01-19,363.3900,376.9000,355.1700,374.8200,7666710
2024-01-12,324.5000,366.8600,324.1200,363.7100,11440429
2024-01-05,333.0000,336.2000,320.2600,322.5000,5479891
2023-12-29,336.9200,340.4899,335.0650,337.3600,3530580
2023-12-22,325.7300,337.0600,325.0100,336.2600,9048918
2023-12-15,310.0000,332.6100,309.8000,324.3500,10255643
2023-12-08,311.9200,315.9300,304.5000,310.4200,6379305
2023-12-01,314.6800,316.3050,304.7000,315.2000,7858631
2023-11-24,305.4400,318.2600,305.0000,318.0100,5009024
2023-11-17,285.3280,311.2350,281.1200,305.2800,10799875
2023-11-10,278.1300,282.4475,269.4900,277.4900,7218083
2023-11-03,260.0800,281.5800,254.8500,278.5200,10015350
2023-10-27,268.5000,281.8800,255.9500,258.9800,12490054
2023-10-20,276.0000,279.6200,256.7200,266.9100,16820593
2023-10-13,293.1300,301.0700,265.5000,273.1500,14032319
2023-10-06,291.9600,296.7300,284.7950,295.6800,5569295
2023-09-29,286.4000,298.3500,285.7400,292.2900,7067070
2023-09-22,296.1300,303.7950,283.7400,288.2000,7477760
2023-09-15,300.0000,305.8700,294.8450,295.5400,8137833
2023-09-08,310.0000,311.3800,295.0100,298.2200,5740656
2023-09-01,301.2200,321.3100,300.0000,310.4100,8759791
2023-08-25,286.1200,298.3600,282.5000,297.5500,7739531
2023-08-18,304.8600,312.3000,284.8800,285.9500,8780022
2023-08-11,310.0000,312.8600,297.1700,304.4900,7138857
2023-08-04,325.8900,326.2700,306.0900,309.3100,7986316
2023-07-28,336.7600,337.8500,322.4600,326.5300,9388867
2023-07-21,354.0000,358.0700,329.5300,336.6600,19229676
2023-07-14,333.3300,355.3800,333.3300,354.0000,9998412
2023-07-07,339.9200,339.9200,327.6200,331.2900,5056305
2023-06-30,326.6000,344.0800,323.2325,341.9400,6852042
2023-06-23,328.0000,329.6824,322.1450,327.2600,5625117
2023-06-16,313.8300,333.1400,312.0000,329.3600,9562897
2023-06-09,311.8510,318.9200,304.7900,312.7600,6081658
2023-06-02,308.8800,313.4700,300.1400,312.1800,6711192
2023-05-26,312.8300,317.8100,297.3800,306.9000,6983845
2023-05-19,305.0100,315.1950,303.9600,313.6100,6145311
2023-05-12,304.5400,305.9500,300.3300,305.2700,5700860
2023-05-05,301.0000,308.4600,297.6300,304.8800,7279006
2023-04-28,299.1100,303.0999,290.6700,301.2200,9662504
2023-04-21,266.9900,304.8400,265.8300,300.2200,15030336
2023-04-14,255.6000,268.4000,252.0400,267.0200,6700022
2023-04-06,254.3000,259.3300,250.0100,256.9000,5302541
2023-03-31,257.5100,259.0250,246.6300,255.4700,7884680
2023-03-24,238.1200,257.4600,237.5800,256.4200,8712568
2023-03-17,224.0000,242.3700,222.6500,237.8000,9619765
2023-03-10,233.5900,236.7791,223.3900,224.7500,6507791
2023-03-03,233.9600,235.2000,224.4800,234.8700,6690717
2023-02-24,236.5500,236.9800,229.0401,231.0500,6152663
2023-02-17,246.0900,246.5400,236.6100,238.9100,7628665
2023-02-10,251.7600,254.5500,242.6000,245.2700,6633217
2023-02-03,245.0000,261.9500,241.1900,254.6800,8960900
2023-01-27,256.7700,259.4050,238.8400,247.2600,14356513
2023-01-20,258.4800,264.8900,248.9600,256.7700,6964001
2023-01-13,272.5900,273.5800,253.7701,258.9000,9974095
2023-01-06,269.5900,273.4000,263.6700,270.3900,6290703
2022-12-30,262.7600,269.8279,260.5900,265.3500,3499346
2022-12-23,264.9900,267.2700,257.7600,262.6600,8744352
2022-12-16,272.2200,285.0900,261.0600,264.6800,15658311
2022-12-09,269.1400,274.2000,264.5050,270.6000,7712990
2022-12-02,264.5400,275.8350,257.2000,272.2500,9782981
2022-11-25,260.9600,267.1100,258.4800,265.1300,5494681
2022-11-18,262.1900,266.6000,255.4000,262.1100,9532711
