timestamp;open;high;low;close;volume;company_id
2024-05-17;799.0000;818.1800;789.8050;812.2200;2457045;5
2024-05-10;768.7300;799.2300;765.8300;796.6700;3155146;5
2024-05-03;763.3600;771.5500;748.7800;763.9100;2719579;5
2024-04-26;756.7500;769.4200;748.0200;762.8800;2787621;5
2024-04-19;770.7900;778.2200;745.5514;749.9800;3667148;5
2024-04-12;801.5200;807.5399;762.0600;763.4000;4475395;5
2024-04-05;834.9800;835.1200;790.1200;797.5600;3128129;5
2024-03-28;820.4400;838.6800;815.1700;833.7000;1751176;5
2024-03-22;806.2000;844.6400;792.8200;824.8300;2938859;5
2024-03-15;835.6500;836.0700;798.3400;802.5200;3747801;5
2024-03-08;815.9700;845.0000;815.9700;836.1200;2675440;5
2024-03-01;810.9500;815.3500;795.2700;814.8300;2836996;5
2024-02-23;789.2800;823.7100;787.5700;813.5900;2043965;5
2024-02-16;798.3300;808.4900;770.0000;794.0000;2459819;5
2024-02-09;782.2100;800.8050;777.1500;797.2100;2950325;5
2024-02-02;787.3100;792.4827;765.6300;788.0000;3426368;5
2024-01-26;806.4050;807.3000;785.1900;787.3000;3511876;5
2024-01-19;803.7900;808.9900;768.3469;805.4400;2700878;5
2024-01-12;784.4300;802.3400;782.7600;799.6000;3095721;5
2024-01-05;804.1500;808.1400;781.4600;782.8300;2349847;5
2023-12-29;803.4400;817.6200;803.4400;811.8000;1207691;5
2023-12-22;812.0000;815.0000;788.8400;802.4200;2988322;5
2023-12-15;745.8000;819.0000;744.3225;819.0000;5889601;5
2023-12-08;751.8400;757.9150;742.2232;744.7300;3492801;5
2023-12-01;727.2000;761.3800;724.5400;756.3500;3936457;5
2023-11-24;714.3900;730.7400;712.1100;730.1000;2089049;5
2023-11-17;660.8200;720.8400;658.1351;716.8600;3389594;5
2023-11-10;656.6200;665.4500;646.9050;665.0000;2352365;5
2023-11-03;602.8400;662.1600;600.2600;657.9700;3642510;5
2023-10-27;611.4400;620.4150;596.1800;598.0800;3088583;5
2023-10-20;630.5100;641.6200;613.1200;614.8300;3829760;5
2023-10-13;641.5000;649.4000;620.0000;627.6600;3685648;5
2023-10-06;644.7100;651.5100;623.6000;648.2600;2899745;5
2023-09-29;655.0200;659.9700;640.3100;646.4900;2832060;5
2023-09-22;696.3200;699.4800;659.3250;660.1000;2272806;5
2023-09-15;695.4600;709.0600;691.9900;697.4100;5088988;5
2023-09-08;705.5700;708.2900;679.9500;690.6200;1789000;5
2023-09-01;681.3100;706.9900;674.6300;706.1900;2489008;5
2023-08-25;672.2000;688.5750;664.6100;675.9600;1746753;5
2023-08-18;692.8100;694.1700;665.2300;670.2500;2411233;5
2023-08-11;713.3100;718.8300;687.5243;695.6100;2390796;5
2023-08-04;739.9900;743.3200;705.6200;710.2800;2437438;5
2023-07-28;751.7000;757.0100;728.4000;738.3400;2627211;5
2023-07-21;724.5500;756.3200;720.5000;751.2100;3291271;5
2023-07-14;693.8300;744.0000;692.7800;728.0300;3707926;5
2023-07-07;690.0000;702.1600;674.8025;684.1000;2168807;5
2023-06-30;678.0800;695.9800;677.7600;691.1400;2747406;5
2023-06-23;695.6900;696.4550;670.0000;680.4500;2234785;5
2023-06-16;684.6100;716.3550;682.2600;702.7800;3663404;5
2023-06-09;681.4500;686.4500;666.0101;684.4000;2821643;5
2023-06-02;677.5400;685.0000;656.3600;681.8600;3520079;5
2023-05-26;666.3300;675.7700;648.4500;672.3000;2973460;5
2023-05-19;645.1800;676.5300;633.2300;666.7000;3831326;5
2023-05-12;646.2500;651.2000;624.5000;645.1000;3070993;5
2023-05-05;675.0800;675.5900;628.2301;644.4800;2784326;5
2023-04-28;682.2800;682.2800;647.4200;671.2000;2349573;5
2023-04-21;691.3300;701.2250;678.9150;680.9400;2878184;5
2023-04-14;652.3500;704.0050;650.7928;691.3300;3222864;5
2023-04-06;664.5200;670.2100;651.2850;656.4000;2015851;5
2023-03-31;654.5300;669.1500;641.3800;669.1200;2282550;5
2023-03-24;647.4700;667.4500;638.0850;644.8800;3253068;5
2023-03-17;625.0200;648.0000;620.0000;636.7100;6484221;5
2023-03-10;688.3500;698.7900;628.4800;635.0300;3263979;5
2023-03-03;694.8800;696.5000;672.7600;695.2400;3356660;5
2023-02-24;706.1300;708.5800;678.5800;683.4300;2752743;5
2023-02-17;722.8600;742.9000;706.3800;716.1600;2541038;5
