timestamp,open,high,low,close,volume
2024-05-17,799.0000,818.1800,789.8050,812.2200,2457045
2024-05-10,768.7300,799.2300,765.8300,796.6700,3155146
2024-05-03,763.3600,771.5500,748.7800,763.9100,2719579
2024-04-26,756.7500,769.4200,748.0200,762.8800,2787621
2024-04-19,770.7900,778.2200,745.5514,749.9800,3667148
2024-04-12,801.5200,807.5399,762.0600,763.4000,4475395
2024-04-05,834.9800,835.1200,790.1200,797.5600,3128129
2024-03-28,820.4400,838.6800,815.1700,833.7000,1751176
2024-03-22,806.2000,844.6400,792.8200,824.8300,2938859
2024-03-15,835.6500,836.0700,798.3400,802.5200,3747801
2024-03-08,815.9700,845.0000,815.9700,836.1200,2675440
2024-03-01,810.9500,815.3500,795.2700,814.8300,2836996
2024-02-23,789.2800,823.7100,787.5700,813.5900,2043965
2024-02-16,798.3300,808.4900,770.0000,794.0000,2459819
2024-02-09,782.2100,800.8050,777.1500,797.2100,2950325
2024-02-02,787.3100,792.4827,765.6300,788.0000,3426368
2024-01-26,806.4050,807.3000,785.1900,787.3000,3511876
2024-01-19,803.7900,808.9900,768.3469,805.4400,2700878
2024-01-12,784.4300,802.3400,782.7600,799.6000,3095721
2024-01-05,804.1500,808.1400,781.4600,782.8300,2349847
2023-12-29,803.4400,817.6200,803.4400,811.8000,1207691
2023-12-22,812.0000,815.0000,788.8400,802.4200,2988322
2023-12-15,745.8000,819.0000,744.3225,819.0000,5889601
2023-12-08,751.8400,757.9150,742.2232,744.7300,3492801
2023-12-01,727.2000,761.3800,724.5400,756.3500,3936457
2023-11-24,714.3900,730.7400,712.1100,730.1000,2089049
2023-11-17,660.8200,720.8400,658.1351,716.8600,3389594
2023-11-10,656.6200,665.4500,646.9050,665.0000,2352365
2023-11-03,602.8400,662.1600,600.2600,657.9700,3642510
2023-10-27,611.4400,620.4150,596.1800,598.0800,3088583
2023-10-20,630.5100,641.6200,613.1200,614.8300,3829760
2023-10-13,641.5000,649.4000,620.0000,627.6600,3685648
2023-10-06,644.7100,651.5100,623.6000,648.2600,2899745
2023-09-29,655.0200,659.9700,640.3100,646.4900,2832060
2023-09-22,696.3200,699.4800,659.3250,660.1000,2272806
2023-09-15,695.4600,709.0600,691.9900,697.4100,5088988
2023-09-08,705.5700,708.2900,679.9500,690.6200,1789000
2023-09-01,681.3100,706.9900,674.6300,706.1900,2489008
2023-08-25,672.2000,688.5750,664.6100,675.9600,1746753
2023-08-18,692.8100,694.1700,665.2300,670.2500,2411233
2023-08-11,713.3100,718.8300,687.5243,695.6100,2390796
2023-08-04,739.9900,743.3200,705.6200,710.2800,2437438
2023-07-28,751.7000,757.0100,728.4000,738.3400,2627211
2023-07-21,724.5500,756.3200,720.5000,751.2100,3291271
2023-07-14,693.8300,744.0000,692.7800,728.0300,3707926
2023-07-07,690.0000,702.1600,674.8025,684.1000,2168807
2023-06-30,678.0800,695.9800,677.7600,691.1400,2747406
2023-06-23,695.6900,696.4550,670.0000,680.4500,2234785
2023-06-16,684.6100,716.3550,682.2600,702.7800,3663404
2023-06-09,681.4500,686.4500,666.0101,684.4000,2821643
2023-06-02,677.5400,685.0000,656.3600,681.8600,3520079
2023-05-26,666.3300,675.7700,648.4500,672.3000,2973460
2023-05-19,645.1800,676.5300,633.2300,666.7000,3831326
2023-05-12,646.2500,651.2000,624.5000,645.1000,3070993
2023-05-05,675.0800,675.5900,628.2301,644.4800,2784326
2023-04-28,682.2800,682.2800,647.4200,671.2000,2349573
2023-04-21,691.3300,701.2250,678.9150,680.9400,2878184
2023-04-14,652.3500,704.0050,650.7928,691.3300,3222864
2023-04-06,664.5200,670.2100,651.2850,656.4000,2015851
2023-03-31,654.5300,669.1500,641.3800,669.1200,2282550
2023-03-24,647.4700,667.4500,638.0850,644.8800,3253068
2023-03-17,625.0200,648.0000,620.0000,636.7100,6484221
2023-03-10,688.3500,698.7900,628.4800,635.0300,3263979
2023-03-03,694.8800,696.5000,672.7600,695.2400,3356660
2023-02-24,706.1300,708.5800,678.5800,683.4300,2752743
2023-02-17,722.8600,742.9000,706.3800,716.1600,2541038
2023-02-10,746.9800,750.1200,711.0100,723.5100,3289286
2023-02-03,750.4100,781.7700,744.3900,757.1600,4036306
2023-01-27,741.8700,764.1000,725.5800,759.1800,3337154
2023-01-20,750.1800,763.0600,729.6200,741.7100,2927725
2023-01-13,742.2100,763.7500,735.0800,753.9900,4572961
2023-01-06,720.0000,738.5600,701.2100,738.0000,3153385
2022-12-30,704.5700,720.9400,698.3600,708.6300,1591325
2022-12-23,699.4400,716.1200,687.1200,703.9400,2835546
2022-12-16,705.6700,743.1700,683.9150,700.2200,4464009
2022-12-09,709.0000,721.6600,698.7500,706.9500,3994386
2022-12-02,728.0000,736.3000,693.2900,712.9800,6182464
2022-11-25,716.5800,741.0000,715.4800,737.7800,2053289
2022-11-18,760.0000,762.9200,710.1900,720.6100,4249241
2022-11-11,660.2500,785.6500,655.5450,774.7500,5496615
2022-11-04,658.0100,663.2200,622.9800,656.1500,4294666
2022-10-28,605.8100,664.9850,602.7500,663.7500,4780674
2022-10-21,566.0000,598.4400,566.0000,597.2600,4158766
2022-10-14,557.5500,582.6800,503.1236,550.9500,5863980
2022-10-07,555.0000,591.3400,543.2300,550.4000,3477171
2022-09-30,590.0000,595.8552,549.5600,550.2800,4076213
2022-09-23,620.8200,636.4175,583.1000,591.3900,3773989
2022-09-16,697.2100,701.8000,615.8500,626.7400,6300218
2022-09-09,658.9900,701.2400,647.9100,695.4600,2535637
2022-09-02,671.9500,682.0900,650.7950,658.0600,2504453
2022-08-26,699.0900,714.2700,675.7700,676.4400,2462015
2022-08-19,745.2100,763.6650,712.3100,713.8500,3539532
2022-08-12,700.0000,752.4400,688.9900,751.8300,3257743
2022-08-05,661.3000,700.0000,655.4800,695.9300,3478689
2022-07-29,636.7200,674.8400,620.2800,669.1800,2884423
2022-07-22,605.4600,645.1308,594.5500,633.6400,3659832
2022-07-15,612.0400,616.4306,580.2300,600.3700,3751116
2022-07-08,604.9700,626.8500,597.5001,619.5600,1940634
2022-07-01,650.0000,652.7500,596.3200,616.7000,2915549
2022-06-24,596.7500,648.3400,595.7500,647.7800,3936925
2022-06-17,600.1000,610.7100,575.6000,582.2600,5342142
2022-06-10,680.5900,687.9500,617.6700,617.6700,3751283
2022-06-03,659.6700,689.2000,654.3900,671.7400,5183062
2022-05-27,609.7300,672.7150,594.5300,666.5300,5643704
2022-05-20,600.0000,625.3650,582.5800,600.4400,7321187
2022-05-13,616.7200,625.2700,586.0550,615.3300,6232106
