timestamp;open;high;low;close;volume;company_id
2024-05-17;164.2600;176.2650;164.0000;176.0600;135750319;3
2024-05-10;167.4600;171.7600;166.0300;168.6500;114626756;3
2024-05-03;169.0580;169.5500;162.6000;167.2400;171623017;3
2024-04-26;154.3100;174.7100;150.8700;171.9500;192151915;3
2024-04-19;158.8600;159.2400;152.3000;154.0900;122177780;3
2024-04-12;152.7800;160.2225;152.6100;157.7300;126675932;3
2024-04-05;150.6900;155.7400;149.6000;152.5000;137481473;3
2024-03-28;149.9400;152.2560;147.8200;150.9300;88742990;3
2024-03-22;148.6100;152.1500;146.0800;150.7700;168623001;3
2024-03-15;136.1300;143.5850;136.1300;141.1800;174241063;3
2024-03-08;135.6600;138.0850;130.6650;135.4100;208621383;3
2024-03-01;142.1400;142.4400;135.4100;137.1400;197353612;3
2024-02-23;139.6550;145.0000;139.4900;143.9600;94937041;3
2024-02-16;148.4200;149.3350;140.1400;140.5200;141165602;3
2024-02-09;142.8200;149.4400;142.7800;149.0000;142235736;3
2024-02-02;152.0600;153.7800;136.5000;142.3800;238992259;3
2024-01-26;147.1000;153.0500;145.5000;152.1850;134256705;3
2024-01-19;142.0000;146.4500;138.9000;146.3800;103657400;3
2024-01-12;136.2900;145.2200;136.2600;142.6500;110278019;3
2024-01-05;138.5500;139.6300;135.1500;135.7300;96723016;3
2023-12-29;141.5900;142.6800;138.7800;139.6900;71126278;3
2023-12-22;132.6300;141.9900;132.4300;141.4900;160821784;3
2023-12-15;132.3800;133.7200;129.6850;132.6000;179845143;3
2023-12-08;129.8800;138.5600;127.9000;134.9900;175979415;3
2023-12-01;136.0300;138.4200;130.6650;131.8600;136564306;3
2023-11-24;133.6900;139.4200;133.6200;136.6900;80820812;3
2023-11-17;131.7800;137.2199;131.2500;135.3100;139882314;3
2023-11-10;129.0500;132.8000;128.6700;132.5900;125911464;3
2023-11-03;123.2100;129.5250;122.6850;129.1000;138832617;3
2023-10-27;135.0400;139.3599;120.2057;122.1700;257126105;3
2023-10-20;138.1700;140.7200;135.0800;135.6000;127794333;3
2023-10-13;136.9400;141.2200;135.6100;137.3600;121150122;3
2023-10-06;131.2100;138.1550;131.1700;137.5800;119459947;3
2023-09-29;129.8300;134.0500;127.2200;130.8600;121932721;3
2023-09-22;136.6100;139.1600;129.6000;130.2500;130043721;3
2023-09-15;136.5400;138.6950;134.1500;137.4000;123588933;3
2023-09-08;135.4400;136.6600;132.9500;136.3800;80516176;3
2023-09-01;131.3100;138.0000;130.1400;135.6600;143532078;3
2023-08-25;127.1750;134.2500;126.5600;129.8800;130399547;3
2023-08-18;129.3900;131.9900;126.3824;127.4600;133633457;3
2023-08-11;129.1600;132.0500;128.1700;129.5600;111643223;3
2023-08-04;132.7300;133.5250;127.4200;128.1100;123911915;3
2023-07-28;121.6600;133.7400;120.9800;132.5800;225458543;3
2023-07-21;125.9400;127.0999;118.2200;120.0200;198679932;3
2023-07-14;118.3000;126.7750;115.3500;125.4200;166379417;3
2023-07-07;119.2400;122.6100;118.4000;119.4800;88541009;3
2023-06-30;120.7600;122.0000;116.1000;119.7000;154220425;3
2023-06-23;122.9300;124.5700;118.8300;122.3400;118269711;3
2023-06-16;122.7850;126.1080;121.4500;123.5300;161991174;3
2023-06-09;124.0100;129.0400;121.2400;122.2300;164650298;3
2023-06-02;125.6400;126.1500;122.0000;124.6700;130073679;3
2023-05-26;122.9400;126.4300;119.8600;124.6100;181434843;3
2023-05-19;116.1100;125.9700;116.0100;122.7600;191213589;3
2023-05-12;105.1800;118.0300;105.1600;117.5100;246027312;3
2023-05-05;106.8400;107.9900;103.7100;105.5700;129533090;3
2023-04-28;105.4900;108.3700;102.6300;107.3400;209575142;3
2023-04-21;104.6580;106.5400;103.0700;105.4100;138525376;3
2023-04-14;106.9800;108.9400;104.3400;108.8700;129171013;3
2023-04-06;102.3900;109.1700;101.9300;108.4200;126457461;3
2023-03-31;104.6150;104.7600;99.7400;103.7300;161907853;3
2023-03-24;100.1200;106.5900;99.8700;105.4400;189706950;3
2023-03-17;90.0900;102.8350;89.4200;101.6200;250604040;3
2023-03-10;94.0150;95.9700;90.3950;90.6300;159332632;3
2023-03-03;89.8700;93.7300;89.3200;93.6500;156141900;3
2023-02-24;93.0000;93.1000;88.5750;89.1300;142304746;3
2023-02-17;94.7400;97.6800;92.2600;94.3500;231847457;3
2023-02-10;102.4000;108.1800;93.6300;94.5700;350189023;3
2023-02-03;97.4800;107.8500;96.3950;104.7800;227820994;3
2023-01-27;97.9500;100.3200;93.7600;99.3700;179407246;3
2023-01-20;92.0600;98.3000;90.0500;98.0200;161910587;3
2023-01-13;88.3600;92.1900;85.8300;92.1200;142920972;3
2023-01-06;89.5850;91.0500;84.8600;87.3400;131561870;3
2022-12-30;88.7950;88.9400;85.9400;88.2300;86940356;3
2022-12-23;90.2550;90.5600;86.3200;89.2300;128353831;3
2022-12-16;92.7100;99.5300;89.5200;90.2600;196455148;3
2022-12-09;99.4000;101.3800;92.7500;92.8300;140799927;3
2022-12-02;97.0363;102.2500;94.1100;100.4400;140129433;3
2022-11-25;97.2900;98.7600;94.0500;97.4600;73655400;3
2022-11-18;95.0900;100.1400;94.5100;97.4300;155320405;3
2022-11-11;87.2800;96.9300;86.8500;96.4100;180987654;3
2022-11-04;95.4200;96.0300;83.3400;86.5800;248287592;3
2022-10-28;101.8000;104.8200;91.8000;96.2900;260474979;3
2022-10-21;98.8600;103.4700;97.7200;101.1300;134072851;3
2022-10-14;99.0000;100.6900;94.3836;96.5600;126593782;3
2022-10-07;96.7600;102.9254;96.5210;98.6800;128836461;3
2022-09-30;98.1000;100.7000;95.5600;95.6500;153600483;3
2022-09-23;101.7500;103.3300;97.4700;98.7400;146652732;3
2022-09-16;110.9900;111.6200;100.9400;102.8000;164520213;3
2022-09-09;107.3000;110.9900;105.7800;110.6500;95613118;3
2022-09-02;109.9900;110.9500;107.2600;107.8500;129760378;3
2022-08-26;115.2000;116.7200;110.1900;110.3400;109264136;3
2022-08-19;121.1300;122.4300;116.7600;117.2100;101180201;3
2022-08-12;118.3900;121.6800;115.7100;121.6800;112576216;3
2022-08-05;115.3000;118.7800;113.7200;117.4700;115531776;3
2022-07-29;108.4100;116.7050;104.0700;116.3200;212580311;3
2022-07-22;112.6400;115.4000;106.5000;107.9000;196555759;3
2022-07-15;2359.9600;2359.9600;2167.4600;2235.5500;9434879;3
2022-07-08;2142.0100;2393.7000;2114.6300;2387.0700;7800253;3
2022-07-01;2365.4600;2371.5900;2134.6100;2174.7500;8783163;3
2022-06-24;2178.5900;2361.5800;2172.0000;2359.5000;7385777;3
2022-06-17;2135.7300;2228.4700;2100.9200;2142.8700;11185892;3
2022-06-10;2334.0900;2386.9400;2207.3224;2223.2300;7925977;3
2022-06-03;2254.9300;2357.9900;2241.5700;2290.8200;7537276;3
2022-05-27;2191.7500;2246.3600;2037.6936;2246.3300;11504170;3
2022-05-20;2299.1100;2338.0000;2115.9272;2178.1600;8363847;3
2022-05-13;2265.0000;2357.5000;2196.4900;2321.0100;10355632;3
2022-05-06;2268.1000;2457.0900;2252.0000;2314.9300;9790386;3
2022-04-29;2382.0200;2465.5500;2254.7301;2282.1900;14826736;3
2022-04-22;2540.0000;2627.9800;2378.5000;2392.7100;8604432;3
2022-04-14;2636.4700;2641.8500;2532.0200;2534.6000;6455949;3
2022-04-08;2807.1700;2874.2400;2659.3100;2665.7500;6536493;3
2022-04-01;2818.0100;2875.8700;2766.1500;2803.0100;7635860;3
2022-03-25;2723.2700;2840.7000;2681.8450;2833.4600;6849111;3
2022-03-18;2605.0000;2724.8800;2505.5000;2722.5100;8882203;3
2022-03-11;2629.7600;2675.9100;2513.4937;2597.4100;9059664;3
2022-03-04;2661.0000;2728.7899;2606.7500;2638.1300;7196673;3
2022-02-25;2596.7618;2705.4300;2499.0650;2689.1900;8405453;3
2022-02-18;2665.1300;2762.1700;2603.9300;2608.0600;8530129;3
2022-02-11;2885.0000;2885.0000;2668.0000;2685.6500;11434489;3
2022-02-04;2683.2399;3030.9315;2644.1900;2865.8600;18067215;3
2022-01-28;2519.5600;2667.1300;2490.0000;2667.0200;11958228;3
2022-01-21;2723.5000;2759.1900;2601.7300;2607.0300;7401130;3
2022-01-14;2701.5600;2857.0000;2663.2900;2789.6100;7793704;3
2022-01-07;2901.1000;2929.6978;2715.3300;2740.3400;8940232;3
2021-12-31;2945.1200;2966.8799;2897.0400;2897.0400;4265414;3
2021-12-23;2800.0000;2964.8700;2786.4200;2938.3300;5432677;3
2021-12-17;2955.6300;2959.4000;2824.2950;2834.5000;9327718;3
2021-12-10;2860.8100;2982.0000;2803.0000;2960.0300;6743060;3
2021-12-03;2880.0000;2925.9500;2804.2900;2840.0300;8957125;3
2021-11-26;2986.6500;2996.5900;2836.8500;2843.6600;5318487;3
2021-11-19;2978.0100;3019.3300;2944.8000;2978.5300;6566907;3
2021-11-12;2996.5000;3012.2950;2890.7500;2973.5600;5533984;3
2021-11-05;2960.9200;3006.5500;2864.5100;2977.0400;9126384;3
2021-10-29;2751.0000;2973.0000;2708.4800;2960.9200;12447768;3
2021-10-22;2821.5300;2873.2500;2721.1200;2751.3300;7036422;3
2021-10-15;2785.8400;2834.3600;2715.2000;2827.3600;6807528;3
2021-10-08;2719.2100;2806.6207;2621.0000;2795.7100;7980273;3
2021-10-01;2816.0853;2838.7699;2671.1200;2730.8600;8594592;3
2021-09-24;2763.2300;2846.6050;2726.4350;2844.3000;7042020;3
2021-09-17;2838.9900;2889.0100;2809.3950;2816.0000;7437758;3
2021-09-10;2876.6900;2894.3700;2814.7550;2817.5200;4531928;3
2021-09-03;2888.0000;2925.0750;2848.0100;2874.7900;6051578;3
2021-08-27;2759.3900;2890.2500;2752.1500;2880.0800;5648081;3
2021-08-20;2750.4979;2767.2500;2685.0000;2748.5900;5817410;3
2021-08-13;2718.8500;2757.1300;2706.7850;2754.5500;4210194;3
2021-08-06;2702.3400;2729.4500;2666.3900;2714.7700;5021461;3
2021-07-30;2666.5650;2765.9400;2602.0800;2694.5300;11795450;3
2021-07-23;2521.7900;2667.9799;2470.1000;2660.3000;6541925;3
2021-07-16;2523.5600;2586.5266;2512.2150;2539.4000;5265186;3
2021-07-09;2512.9700;2545.6800;2480.4400;2510.3700;4644181;3
2021-07-02;2453.5700;2508.0800;2427.0900;2505.1500;6011156;3
