timestamp;open;high;low;close;volume;company_id
2024-05-17;418.0100;425.4200;410.8200;420.2100;85671354;2
2024-05-10;408.7600;415.3800;406.3701;414.7400;76899183;2
2024-05-03;405.2500;407.1500;389.1700;406.6600;107082034;2
2024-04-26;400.0800;413.0000;388.0300;406.3200;121367810;2
2024-04-19;426.6000;426.8200;397.7700;399.1200;104490345;2
2024-04-12;425.1700;429.3700;419.7000;421.9000;80153656;2
2024-04-05;423.9500;428.6700;417.5700;425.5200;85744235;2
2024-03-28;425.2400;427.4100;419.0100;420.7200;73362236;2
2024-03-22;414.2500;430.8200;413.7800;428.7400;96748672;2
2024-03-15;403.7600;427.8200;401.2600;416.4200;133587381;2
2024-03-08;413.4400;417.3500;398.3900;406.2200;103579947;2
2024-03-01;411.4550;415.8700;403.8500;415.5000;93983165;2
2024-02-23;403.2400;415.8600;397.2200;410.3400;86244735;2
2024-02-16;420.5550;420.7400;403.3900;404.0600;113551067;2
2024-02-09;409.9000;420.8200;402.9100;420.5500;109333537;2
2024-02-02;406.0600;415.3200;397.2100;411.2200;164773339;2
2024-01-26;400.0200;407.0100;393.5900;403.9300;109649099;2
2024-01-19;393.6600;398.6700;384.8100;398.6700;102159580;2
2024-01-12;369.3000;390.6800;369.0100;388.4700;118990164;2
2024-01-05;373.8600;375.9000;366.5000;367.7500;89318051;2
2023-12-29;375.0000;377.1600;372.8116;376.0400;60603657;2
2023-12-22;369.4500;376.0300;368.6800;374.5800;103468302;2
2023-12-15;368.4800;377.6361;364.1300;370.7300;205282326;2
2023-12-08;369.1000;374.4600;362.9000;374.2300;119519918;2
2023-12-01;376.7800;384.3000;371.3100;374.5100;135190626;2
2023-11-24;371.2200;379.7899;371.0000;377.4300;114489942;2
2023-11-17;368.2200;376.3500;365.9000;369.8500;142038149;2
2023-11-10;353.4500;370.1000;353.3500;369.6700;129342555;2
2023-11-03;333.4100;354.3900;331.8300;352.8000;119237928;2
2023-10-27;325.4700;346.2000;324.3900;329.8100;178267212;2
2023-10-20;331.0500;336.8800;325.4500;326.6700;113729959;2
2023-10-13;324.7500;333.8300;323.1800;327.7300;100910313;2
2023-10-06;316.2800;329.1900;311.2150;327.2600;104962901;2
2023-09-29;316.5900;319.4700;309.4500;315.7500;107374481;2
2023-09-22;327.8000;330.4000;315.0000;317.0100;111793469;2
